"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3371","User can login and see Secure Area","chromium","Mon Nov 03 03:35:14 UTC 2025","passed","Mon Nov 03 03:35:17 UTC 2025","UI: Login (composition, state reuse)","tests/ui/login.spec.ts","",""
"","2863","User can login and see Secure Area","firefox","Mon Nov 03 03:35:14 UTC 2025","passed","Mon Nov 03 03:35:17 UTC 2025","UI: Login (composition, state reuse)","tests/ui/login.spec.ts","",""
"","134","GitHub API matches snapshot","api","Mon Nov 03 03:35:18 UTC 2025","passed","Mon Nov 03 03:35:18 UTC 2025","","tests/api/sample.api.spec.ts","",""
"","17296","User can login and see Secure Area","webkit","Mon Nov 03 03:35:18 UTC 2025","passed","Mon Nov 03 03:35:35 UTC 2025","UI: Login (composition, state reuse)","tests/ui/login.spec.ts","",""
